Frame 779: P, Time: 31.16s
Frame 780: P, Time: 31.20s
Frame 781: P, Time: 31.24s
Frame 782: P, Time: 31.28s
Frame 783: P, Time: 31.32s
Frame 784: P, Time: 31.36s
Frame 785: P, Time: 31.40s
Frame 786: P, Time: 31.44s
Frame 787: P, Time: 31.48s
Frame 788: P, Time: 31.52s
Frame 789: P, Time: 31.56s
Frame 790: P, Time: 31.60s
Frame 791: P, Time: 31.64s
Frame 792: P, Time: 31.68s
Frame 793: P, Time: 31.72s
Frame 794: P, Time: 31.76s
Frame 795: P, Time: 31.80s
Frame 796: P, Time: 31.84s
Frame 797: P, Time: 31.88s
Frame 798: P, Time: 31.92s
Frame 799: P, Time: 31.96s
Frame 800: P, Time: 32.00s
Frame 801: P, Time: 32.04s
Frame 802: P, Time: 32.08s
Frame 803: P, Time: 32.12s
Frame 804: P, Time: 32.16s
Frame 805: P, Time: 32.20s
Frame 806: P, Time: 32.24s
Frame 807: P, Time: 32.28s
Frame 808: P, Time: 32.32s
Frame 809: P, Time: 32.36s
Frame 810: P, Time: 32.40s
Frame 811: I, Time: 32.44s
Frame 812: I, Time: 32.48s
Frame 813: I, Time: 32.52s
Frame 814: I, Time: 32.56s
Frame 815: I, Time: 32.60s
Frame 816: P, Time: 32.64s
Frame 817: P, Time: 32.68s
Frame 818: I, Time: 32.72s
Frame 819: I, Time: 32.76s
Frame 820: I, Time: 32.80s
Frame 821: I, Time: 32.84s
Frame 822: P, Time: 32.88s
